base_folder,image_file,audio_file,caption
vggsound_00,NxXwo4AR4M_142.png,NxXwo4AR4M_000142.wav,baltimore oriole calling
vggsound_02,6aVD7uPvGmU_0.png,6aVD7uPvGmU_000000.wav,baltimore oriole calling
vggsound_02,5aTwB99GEBU_0.png,5aTwB99GEBU_000000.wav,baltimore oriole calling
vggsound_04,AKmkhvb9shk_0.png,AKmkhvb9shk_000000.wav,baltimore oriole calling
vggsound_02,4C7ejWmrtA0_234.png,4C7ejWmrtA0_000234.wav,baltimore oriole calling
vggsound_02,5NQBuAOle3E_8.png,5NQBuAOle3E_000008.wav,baltimore oriole calling
vggsound_02,6ZirsWBV7pA_43.png,6ZirsWBV7pA_000043.wav,baltimore oriole calling
vggsound_02,5qWSbdY3IvQ_5.png,5qWSbdY3IvQ_000005.wav,baltimore oriole calling
vggsound_00,1IhPIfC40D8_66.png,1IhPIfC40D8_000066.wav,baltimore oriole calling
vggsound_00,VwoWTaeGpk_12.png,VwoWTaeGpk_000012.wav,baltimore oriole calling
vggsound_00,1FWUnWVX5Xk_159.png,1FWUnWVX5Xk_000159.wav,baltimore oriole calling
vggsound_00,615mGonUqU_232.png,615mGonUqU_000232.wav,baltimore oriole calling
vggsound_00,vczuGgBfFc_23.png,vczuGgBfFc_000023.wav,baltimore oriole calling
vggsound_00,uD3ZbhFTnk_77.png,uD3ZbhFTnk_000077.wav,baltimore oriole calling
vggsound_00,1IJ3NECmqQc_0.png,1IJ3NECmqQc_000000.wav,baltimore oriole calling
vggsound_02,4zxx7y89djo_16.png,4zxx7y89djo_000016.wav,baltimore oriole calling
vggsound_02,62N21fbJoYs_0.png,62N21fbJoYs_000000.wav,baltimore oriole calling
vggsound_02,6jsk3CfKsW4_5.png,6jsk3CfKsW4_000005.wav,baltimore oriole calling
vggsound_00,luZJgNDvII_134.png,luZJgNDvII_000134.wav,baltimore oriole calling
vggsound_00,pX4vF6rs8E_3.png,pX4vF6rs8E_000003.wav,baltimore oriole calling
vggsound_00,psK5OaoMeg_14.png,psK5OaoMeg_000014.wav,baltimore oriole calling
vggsound_02,56APclHzjd8_41.png,56APclHzjd8_000041.wav,"bird chirping, tweeting"
vggsound_00,OOLOgPZvvE_10.png,OOLOgPZvvE_000010.wav,"bird chirping, tweeting"
