base_folder,image_file,audio_file,caption
vggsound_00,g-f_I2yQ_1.png,g-f_I2yQ_000001.wav,people marching
vggsound_00,0PQM4-hqg_30.png,0PQM4-hqg_000030.wav,waterfall burbling
vggsound_00,56QUhyDQM_185.png,56QUhyDQM_000185.wav,playing tennis
vggsound_00,5OkAjCI7g_40.png,5OkAjCI7g_000040.wav,people belly laughing
vggsound_00,8puiAGLhs_30.png,8puiAGLhs_000030.wav,car engine starting
vggsound_00,96EN9NUQM_242.png,96EN9NUQM_000242.wav,alarm clock ringing
vggsound_00,9O4XZOge4_30.png,9O4XZOge4_000030.wav,"female speech, woman speaking"
vggsound_00,Aa4M484QM_0.png,Aa4M484QM_000000.wav,cricket chirping
vggsound_00,Bu2xe4OSo_430.png,Bu2xe4OSo_000430.wav,wind noise
vggsound_00,bvmgIdDC8_30.png,bvmgIdDC8_000030.wav,female singing
vggsound_00,byNAHo7tQ_0.png,byNAHo7tQ_000000.wav,"race car, auto racing"
vggsound_00,CC5pH97q4_33.png,CC5pH97q4_000033.wav,foghorn
vggsound_00,CudrykwoE_67.png,CudrykwoE_000067.wav,cricket chirping
vggsound_00,dMUrmpeqc_30.png,dMUrmpeqc_000030.wav,male singing
vggsound_00,DTR0_mIGI_11.png,DTR0_mIGI_000011.wav,people battle cry
vggsound_00,EquRwM9IQ_8.png,EquRwM9IQ_000008.wav,playing volleyball
vggsound_00,f4Zx92FcY_30.png,f4Zx92FcY_000030.wav,"male speech, man speaking"
vggsound_00,FenyW2i_4_0.png,FenyW2i_4_000000.wav,female singing
vggsound_00,G-wKyj6JQ_30.png,G-wKyj6JQ_000030.wav,playing harpsichord
vggsound_00,gJvz9RrfA_13.png,gJvz9RrfA_000013.wav,playing bass guitar
vggsound_00,HuBNHXu9I_30.png,HuBNHXu9I_000030.wav,"male speech, man speaking"
vggsound_00,i-y1v8Hy8_0.png,i-y1v8Hy8_000000.wav,female singing
vggsound_00,I3Bjp_ptc_254.png,I3Bjp_ptc_000254.wav,playing bassoon
vggsound_00,IOqc-XgYo_0.png,IOqc-XgYo_000000.wav,playing piano
vggsound_00,iY3Bf4hDg_30.png,iY3Bf4hDg_000030.wav,"playing violin, fiddle"
vggsound_00,L3BCCcGEw_400.png,L3BCCcGEw_000400.wav,people clapping
vggsound_00,Lj4Y_96f0_120.png,Lj4Y_96f0_000120.wav,"bee, wasp, etc. buzzing"
vggsound_00,Nrb6rtheE_10.png,Nrb6rtheE_000010.wav,baby babbling
